,Course Code,Course Name 2019,EOS 2019,Mid 2019,Institution,Test 2019,NotAll 2019,Matric 2019,AQA 2019,Level8 2019
0,AL801,Software Design with Virtual Reality and Gaming,304.0,328.0,Athlone Institute of Technology,False,False,False,False,True
1,AL802,Software Design with Cloud Computing,301.0,306.0,Athlone Institute of Technology,False,False,False,False,True
2,AL803,Software Design with Mobile Apps and Connected Devices,309.0,337.0,Athlone Institute of Technology,False,False,False,False,True
3,AL805,Network Management and Cloud Infrastructure,329.0,442.0,Athlone Institute of Technology,False,False,False,False,True
4,AL810,Quantity Surveying,307.0,349.0,Athlone Institute of Technology,False,False,False,False,True
5,AL820,Mechanical and Polymer Engineering,300.0,358.0,Athlone Institute of Technology,False,False,False,False,True
6,AL830,General Nursing,410.0,429.0,Athlone Institute of Technology,False,False,False,False,True
7,AL832,Psychiatric Nursing,387.0,403.0,Athlone Institute of Technology,False,False,False,False,True
8,AL836,Nutrition and Health Science,352.0,383.0,Athlone Institute of Technology,False,False,False,False,True
9,AL837,Sports Science with Exercise Physiology,351.0,392.0,Athlone Institute of Technology,False,False,False,False,True
10,AL838,Biotechnology,302.0,372.0,Athlone Institute of Technology,False,False,False,False,True
11,AL839,Microbiology,322.0,371.0,Athlone Institute of Technology,False,False,False,False,True
12,AL840,Pharmaceutical Sciences,328.0,411.0,Athlone Institute of Technology,False,False,False,False,True
13,AL841,Athletic and Rehabilitation Therapy,423.0,430.0,Athlone Institute of Technology,False,False,False,False,True
14,AL842,Bioveterinary Science,310.0,366.0,Athlone Institute of Technology,False,False,False,False,True
15,AL843,Physical Activity and Health Science,310.0,330.0,Athlone Institute of Technology,False,False,False,False,True
16,AL850,Business,307.0,356.0,Athlone Institute of Technology,False,False,False,False,True
17,AL851,Business and Law,301.0,341.0,Athlone Institute of Technology,False,False,False,False,True
18,AL852,Accounting (with optional placement),290.0,346.0,Athlone Institute of Technology,False,False,False,False,True
19,AL853,Accounting and Law,305.0,320.0,Athlone Institute of Technology,False,False,False,False,True
