,,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2016,2016,2016,2016,2016,2016,2016,2016,2016,2015,2015,2015,2015,2015,2015,2015,2015,2015,2014,2014,2014,2014,2014,2014,2014,2014,2014,2013,2013,2013,2013,2013,2013,2013,2013,2013,2012,2012,2012,2012,2012,2012,2012,2012,2012,2011,2011,2011,2011,2011,2011,2011,2011,2011,2010,2010,2010,2010,2010,2010,2010,2010,2010,2009,2009,2009,2009,2009,2009,2009,2009,2009,2008,2008,2008,2008,2008,2008,2008,2008,2008,2007,2007,2007,2007,2007,2007,2007,2007,2007,2006,2006,2006,2006,2006,2006,2006,2006,2006,2005,2005,2005,2005,2005,2005,2005,2005,2005,2004,2004,2004,2004,2004,2004,2004,2004,2004,2003,2003,2003,2003,2003,2003,2003,2003,2003,2002,2002,2002,2002,2002,2002,2002,2002,2002,2001,2001,2001,2001,2001,2001,2001,2001,2001
,,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
Institution Code,Course Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humanities                         ,AMERICAN COLLEGE DUBLIN,,,False,False,False,True,False
AC,120,International Business                            ,American College,294.0,,True,False,False,False,False,International Business,American College,209.0,280.0,True,False,False,False,False,International Business,American College,234.0,269.0,True,False,False,False,False,International Business,American College,269.0,288.0,True,False,False,False,False,International Business,American College,281.0,347.0,True,False,False,False,False,International Business,American College,255.0,317.0,True,False,False,False,False,International Business,American College,270.0,280.0,True,False,False,False,False,International Business,AMERICAN COLLEGE,220.0,330.0,True,False,False,False,False,International Business,AMERICAN COLLEGE,285.0,320.0,True,False,False,False,False,International Business,AMERICAN COLLEGE,295.0,345.0,True,False,False,False,False,International Business,AMERICAN COLLEGE,280.0,335.0,True,False,False,False,False,International Business,AMERICAN COLLEGE,305.0,340.0,True,False,False,False,False,International Business,AMERICAN COLLEGE,,,True,False,False,True,False,International Business,AMERICAN COLLEGE,,,True,True,False,False,False,International Business - 3 Year course,AMERICAN COLLEGE,260.0,320.0,True,False,False,False,False,International Business,AMERICAN COLLEGE,270.0,350.0,True,False,False,False,False,International Business,AMERICAN COLLEGE DUBLIN,200.0,330.0,True,False,False,False,False,International Business                            ,AMERICAN COLLEGE,230.0,345.0,True,False,False,False,False,International Business                            ,AMERICAN COLLEGE,195.0,310.0,True,False,False,False,False,International Business                            ,AMERICAN COLLEGE,175.0,330.0,True,False,False,False,False,International Business             ,AMERICAN COLLEGE,225.0,,True,False,False,False,False
AC,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accounting and Finance,AMERICAN COLLEGE,200.0,325.0,True,False,False,False,False,Accounting and Finance,AMERICAN COLLEGE,300.0,300.0,True,False,False,False,False,Accounting and Finance,AMERICAN COLLEGE,275.0,320.0,True,False,False,False,False,Accounting and Finance,AMERICAN COLLEGE,335.0,450.0,True,False,False,False,False,Accounting and Finance,AMERICAN COLLEGE,335.0,355.0,True,False,False,False,False,Accounting and Finance,AMERICAN COLLEGE,,,True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,137,Liberal Arts                                      ,American College,270.0,,True,False,False,False,False,Liberal Arts,American College,252.0,270.0,True,False,False,False,False,Liberal Arts,American College,252.0,275.0,True,False,False,False,False,Liberal Arts,American College,219.0,298.0,True,False,False,False,False,Liberal Arts,American College,219.0,281.0,True,False,False,False,False,Liberal Arts,American College,295.0,333.0,True,False,False,False,False,Liberal Arts,American College,280.0,315.0,True,False,False,False,False,Liberal Arts,AMERICAN COLLEGE,275.0,305.0,True,False,False,False,False,Liberal Arts,AMERICAN COLLEGE,200.0,325.0,True,False,False,False,False,Liberal Arts,AMERICAN COLLEGE,280.0,280.0,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioural Science (Psychology),AMERICAN COLLEGE,,,True,False,False,True,False,Behavioural Science (Psychology),AMERICAN COLLEGE,260.0,340.0,True,False,False,False,False,Behavioural Science (Psychology),AMERICAN COLLEGE,235.0,345.0,True,False,False,False,False,Behavioural Science (Psychology),AMERICAN COLLEGE,220.0,310.0,True,False,False,False,False,Behavioural Science (Psychology),AMERICAN COLLEGE DUBLIN,235.0,325.0,True,False,False,False,False,Behavioral Science ( Psychology )                 ,AMERICAN COLLEGE,230.0,310.0,True,False,False,False,False,Behavioral Science ( Psychology )                 ,AMERICAN COLLEGE,190.0,325.0,True,False,False,False,False,Behavioral Science ( Psychology )                 ,AMERICAN COLLEGE,205.0,310.0,True,False,False,False,False,Behav Science ( Psychology )       ,AMERICAN COLLEGE,200.0,,True,False,False,False,False
AC,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioural Sci ( Applied Social Studies)         ,AMERICAN COLLEGE,200.0,310.0,True,False,False,False,False,Behav Sci ( Applied Social Studies),AMERICAN COLLEGE,225.0,,True,False,False,False,False
AD,001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Art and Design Education,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Art and Design Education,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Art/Design Education                              ,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Art/Design Teaching                               ,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Art/Design Teaching                               ,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Art/Design Teaching                ,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False
AD,012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial Design                       (+specific subj. req.),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Industrial Design                                    (+specific subj req),NATIONAL COLLEGE of ART and DESIGN,,,True,False,False,False,False,Industrial Design                                           (   +spec. subj req.  ),NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Industrial Design#,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Industrial Design,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Industrial Design,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Industrial Design,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Industrial Design,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,Industrial Design                                 ,NATIONAL COLLEGE of ART and DESIGN,,,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
