,Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
0,AL031,Computer and Software Engineering                 ,ATHLONE IT,265.0,330.0,True,False,False,False,False
1,AL033,Toxicology                                        ,ATHLONE IT,260.0,315.0,True,False,False,False,False
2,AL035,Construction Technology & Management              ,ATHLONE IT,310.0,350.0,True,False,False,False,False
3,AL050,Business Studies                                  ,ATHLONE IT,310.0,345.0,True,False,False,False,False
4,AL051,Accountancy                                       ,ATHLONE IT,260.0,345.0,True,False,False,False,False
5,AL052,Design ( Visual Communications )                  ,ATHLONE IT,610.0,750.0,True,True,False,False,False
6,AL053,Pharmaceutical Sciences                           ,ATHLONE IT,305.0,345.0,True,False,False,False,False
7,AL054,Social Care Practice                              ,ATHLONE IT,340.0,355.0,True,False,False,False,False
8,AL110,General Nursing                                   ,ATHLONE IT,360.0,375.0,True,False,False,False,False
9,AL111,Mature Applicants General Nursing                 ,ATHLONE IT,162.0,166.0,True,True,False,False,False
10,AL112,Psychiatric Nursing                               ,ATHLONE IT,330.0,340.0,True,False,False,False,False
11,AL113,Mature Applicants Psychiatric Nursing             ,ATHLONE IT,140.0,151.0,True,True,False,False,False
12,PC410,Humanities                                        ,CARLOW COLLEGE,315.0,335.0,True,False,False,False,False
13,CW046,Computer Networking                               ,IT CARLOW,,,True,False,False,False,False
14,CW105,Early Childhood Studies                           ,IT CARLOW,340.0,355.0,True,False,False,False,False
15,CW120,Early Childhood Studies  ( Wexford Campus )       ,IT CARLOW,300.0,325.0,True,False,False,False,False
16,CW122,B.A. in Accounting                                ,IT CARLOW,300.0,345.0,True,False,False,False,False
17,CR105,Chemical Engineering                              ,CORK IT,300.0,470.0,True,False,False,False,False
18,CR106,Computer Applications                             ,CORK IT,250.0,330.0,True,False,False,False,False
19,CR107,Electronic Engineering                            ,CORK IT,280.0,380.0,True,False,False,False,False
20,CR108,Mechanical Engineering                            ,CORK IT,360.0,410.0,True,False,False,False,False
21,CR109,Structural Engineering                            ,CORK IT,440.0,465.0,True,False,False,False,False
22,CR111,Computerised Instrument Systems                   ,CORK IT,205.0,315.0,True,False,False,False,False
23,CR112,Multimedia                                        ,CORK IT,420.0,450.0,True,False,True,False,False
24,CR114,Software Development with French                  ,CORK IT,,,True,False,False,False,False
25,CR115,Software Development with German                  ,CORK IT,,,True,False,False,False,False
26,CR116,Software Dev & Comp Net                           ,CORK IT,270.0,345.0,True,False,False,False,False
27,CR121,Music                                             ,CORK IT,775.0,915.0,True,False,True,False,False
28,CR150,Business Studies in Information Systems           ,CORK IT,355.0,370.0,True,False,False,False,False
29,CK101,Arts                                              ,UNIVERSITY COLLEGE CORK,385.0,425.0,True,False,False,False,False
30,CK102,Social Science                                    ,UNIVERSITY COLLEGE CORK,390.0,420.0,True,False,False,False,False
31,CK103,Music                                             ,UNIVERSITY COLLEGE CORK,350.0,395.0,True,True,False,False,False
32,CK104,Arts/Music                                        ,UNIVERSITY COLLEGE CORK,420.0,470.0,True,True,False,False,False
33,CK105,European Studies                                  ,UNIVERSITY COLLEGE CORK,315.0,435.0,True,False,False,False,False
34,CK106,Applied Psychology                                ,UNIVERSITY COLLEGE CORK,515.0,535.0,True,False,True,False,False
35,CK111,Early Childhood Studies                           ,UNIVERSITY COLLEGE CORK,355.0,380.0,True,False,False,False,False
36,CK112,Drama and Theatre Studies                         ,UNIVERSITY COLLEGE CORK,415.0,480.0,True,True,False,False,False
37,CK113,Language and Cultural Studies                     ,UNIVERSITY COLLEGE CORK,305.0,380.0,True,False,False,False,False
38,CK114,Social Science ( Youth and Community Work )       ,UNIVERSITY COLLEGE CORK,,,True,False,False,False,False
39,CK115,Social Work                                       ,UNIVERSITY COLLEGE CORK,,,True,False,False,False,False
