Course Code,Course Name,Institution,EOS,Mid,Level8,Test,Not All,AQA,New Comp
AL033,Toxicology,ATHLONE IT,320.0,355.0,True,False,False,False,False
AL035,Construction Technology and Management,ATHLONE IT,255.0,320.0,True,False,False,False,False
AL050,Business,ATHLONE IT,250.0,320.0,True,False,False,False,False
AL051,Accounting,ATHLONE IT,255.0,335.0,True,False,False,False,False
AL052,Design (Visual Communications),ATHLONE IT,640.0,835.0,True,True,False,False,False
AL053,Pharmaceutical Sciences,ATHLONE IT,,,True,False,False,False,False
AL054,Social Care Practice,ATHLONE IT,310.0,340.0,True,False,False,False,False
AL110,General Nursing,ATHLONE IT,350.0,370.0,True,False,True,False,False
AL111,Mature Applicants General Nursing,ATHLONE IT,164.0,168.0,True,True,False,False,False
AL112,Psychiatric Nursing,ATHLONE IT,360.0,390.0,True,False,False,False,False
AL113,Mature Applicants Psychiatric Nursing,ATHLONE IT,157.0,163.0,True,True,False,False,False
PC410,Humanities,CARLOW COLLEGE,275.0,325.0,True,False,False,False,False
CW018,Business (Wexford),IT CARLOW,285.0,310.0,True,False,False,False,False
CW028,Early Childhood Education and Care (Wexford),IT CARLOW,300.0,325.0,True,False,False,False,False
CW038,Art (Wexford),IT CARLOW,700.0,890.0,True,True,False,False,False
CW108,Biosciences with Bioforensics,IT CARLOW,300.0,340.0,True,False,False,False,False
CW118,Biosciences with Biopharmaceuticals,IT CARLOW,280.0,325.0,True,False,False,False,False
CW208,Computer Games Development,IT CARLOW,300.0,360.0,True,False,False,False,False
CW238,Software Development,IT CARLOW,315.0,335.0,True,False,False,False,False
CW438,Construction - Quantity Surveying,IT CARLOW,320.0,350.0,True,False,False,False,False
CW448,Construction - Facilities Management,IT CARLOW,310.0,320.0,True,False,False,False,False
CW708,Law,IT CARLOW,305.0,345.0,True,False,False,False,False
CW728,Product Design Innovation,IT CARLOW,285.0,320.0,True,False,False,False,False
CW748,Early Childhood Education and Care,IT CARLOW,310.0,345.0,True,False,False,False,False
CW808,Communications and Public Relations,IT CARLOW,300.0,345.0,True,False,False,False,False
CW818,Accounting,IT CARLOW,270.0,355.0,True,False,False,False,False
CW828,International Business,IT CARLOW,275.0,295.0,True,False,False,False,False
CW838,Marketing,IT CARLOW,270.0,325.0,True,False,False,False,False
CW908,Business - Management,IT CARLOW,265.0,320.0,True,False,False,False,False
CR105,Chemical and Process Engineering,CORK IT,350.0,450.0,True,False,False,False,False
CR106,Software Development,CORK IT,215.0,320.0,True,False,False,False,False
CR108,Mechanical Engineering,CORK IT,330.0,440.0,True,False,False,False,False
CR109,Structural Engineering,CORK IT,380.0,445.0,True,False,False,False,False
CR111,Computerised Instrument Systems,CORK IT,250.0,310.0,True,False,False,False,False
CR112,Multimedia,CORK IT,375.0,405.0,True,False,False,False,False
CR116,Software Development and Computer Networking,CORK IT,244.0,340.0,True,False,False,False,False
CR121,Music (at CIT - Cork School of Music),CORK IT,865.0,1065.0,True,False,True,False,False
CR150,Business Information Systems,CORK IT,320.0,350.0,True,False,False,False,False
CR220,Fine Art and Ceramic Design,CORK IT,790.0,880.0,True,True,False,False,False
CR310,IT Management,CORK IT,305.0,325.0,True,False,False,False,False
CR330,Herbal Science,CORK IT,228.0,325.0,True,False,False,False,False
CR340,Analytical Chemistry with Quality Assurance,CORK IT,320.0,330.0,True,False,False,False,False
CR400,Accounting,CORK IT,355.0,405.0,True,False,False,False,False
CR510,Sustainable Energy Technology,CORK IT,375.0,410.0,True,False,False,False,False
CR520,Biomedical Engineering (Level 8),CORK IT,430.0,500.0,True,False,False,False,False
CR560,Architectural Technology (Level 8),CORK IT,420.0,435.0,True,False,False,False,False
CK101,Arts,UNIVERSITY COLLEGE CORK,335.0,395.0,True,False,False,False,False
CK102,Social Science,UNIVERSITY COLLEGE CORK,360.0,390.0,True,False,False,False,False
CK103,Music,UNIVERSITY COLLEGE CORK,380.0,395.0,True,True,True,False,False
CK104,Arts with Music,UNIVERSITY COLLEGE CORK,450.0,480.0,True,True,False,False,False
CK106,Applied Psychology,UNIVERSITY COLLEGE CORK,505.0,520.0,True,False,False,False,False
CK111,Early Childhood Studies,UNIVERSITY COLLEGE CORK,335.0,375.0,True,False,False,False,False
CK112,Drama and Theatre Studies,UNIVERSITY COLLEGE CORK,370.0,435.0,True,True,False,False,False
CK114,Social Science (Youth and Community Work) - Mature Applicant,UNIVERSITY COLLEGE CORK,,,True,True,False,False,False
CK115,Social Work - Mature Applicants only,UNIVERSITY COLLEGE CORK,,,True,True,False,False,False
CK116,Sports Studies and Physical Education,UNIVERSITY COLLEGE CORK,465.0,485.0,True,False,False,False,False
CK201,Commerce,UNIVERSITY COLLEGE CORK,445.0,465.0,True,False,False,False,False
CK202,Accounting,UNIVERSITY COLLEGE CORK,485.0,515.0,True,False,True,False,False
CK203,Business Information Systems,UNIVERSITY COLLEGE CORK,385.0,430.0,True,False,False,False,False
CK204,Finance,UNIVERSITY COLLEGE CORK,455.0,490.0,True,False,False,False,False
CK205,Commerce (International) with French,UNIVERSITY COLLEGE CORK,465.0,490.0,True,False,False,False,False
CK206,Commerce (International) with German,UNIVERSITY COLLEGE CORK,310.0,420.0,True,False,False,False,False
CK207,Commerce (International) with Italian,UNIVERSITY COLLEGE CORK,315.0,370.0,True,False,False,False,False
CK208,Commerce (International) with Spanish,UNIVERSITY COLLEGE CORK,380.0,420.0,True,False,False,False,False
CK209,Commerce (International) with Irish,UNIVERSITY COLLEGE CORK,415.0,450.0,True,False,False,False,False
CK210,Government,UNIVERSITY COLLEGE CORK,330.0,370.0,True,False,False,False,False
CK211,Commerce (International) with Chinese Studies,UNIVERSITY COLLEGE CORK,335.0,430.0,True,False,False,False,False
CK301,Law - Three-years,UNIVERSITY COLLEGE CORK,500.0,525.0,True,False,False,False,False
CK302,Law and French,UNIVERSITY COLLEGE CORK,505.0,540.0,True,False,False,False,False
CK303,Law and German,UNIVERSITY COLLEGE CORK,450.0,490.0,True,False,False,False,False
CK304,Law and Irish,UNIVERSITY COLLEGE CORK,530.0,560.0,True,False,False,False,False
CK401,Computer Science,UNIVERSITY COLLEGE CORK,300.0,355.0,True,False,False,False,False
CK402,Biological and Chemical Sciences,UNIVERSITY COLLEGE CORK,365.0,460.0,True,False,False,False,False
CK404,Environmental and Earth System Sciences,UNIVERSITY COLLEGE CORK,360.0,425.0,True,False,False,False,False
CK405,Genetics,UNIVERSITY COLLEGE CORK,345.0,415.0,True,False,False,False,False
CK406,Chemical Sciences,UNIVERSITY COLLEGE CORK,305.0,415.0,True,False,False,False,False
CK407,Mathematical Sciences,UNIVERSITY COLLEGE CORK,480.0,530.0,True,False,True,False,False
CK408,Physics and Astrophysics,UNIVERSITY COLLEGE CORK,440.0,525.0,True,False,False,False,False
CK501,Food Business,UNIVERSITY COLLEGE CORK,300.0,340.0,True,False,False,False,False
CK504,Nutritional Sciences,UNIVERSITY COLLEGE CORK,480.0,500.0,True,False,True,False,False
CK505,Food Science,UNIVERSITY COLLEGE CORK,300.0,355.0,True,False,False,False,False
CK506,International Development and Food Policy,UNIVERSITY COLLEGE CORK,335.0,415.0,True,False,False,False,False
CK601,Process and Chemical Engineering,UNIVERSITY COLLEGE CORK,485.0,510.0,True,False,False,False,False
CK602,Civil and Environmental Engineering,UNIVERSITY COLLEGE CORK,500.0,530.0,True,False,False,False,False
CK603,Energy Engineering,UNIVERSITY COLLEGE CORK,535.0,555.0,True,False,False,False,False
CK605,Electrical and Electronic Engineering,UNIVERSITY COLLEGE CORK,300.0,460.0,True,False,False,False,False
CK606,Architecture - Joint UCC and CIT programme,UNIVERSITY COLLEGE CORK,495.0,510.0,True,False,False,False,False
CK701,Medicine,UNIVERSITY COLLEGE CORK,570.0,590.0,True,False,True,False,False
CK702,Dentistry,UNIVERSITY COLLEGE CORK,565.0,570.0,True,False,True,False,False
CK703,Pharmacy,UNIVERSITY COLLEGE CORK,550.0,565.0,True,False,True,False,False
CK704,Occupational Therapy,UNIVERSITY COLLEGE CORK,520.0,535.0,True,False,False,False,False
CK705,Speech and Language Therapy,UNIVERSITY COLLEGE CORK,520.0,545.0,True,False,False,False,False
CK706,Public Health and Health Promotion,UNIVERSITY COLLEGE CORK,410.0,450.0,True,False,False,False,False
CK710,General Nursing,UNIVERSITY COLLEGE CORK,395.0,435.0,True,False,True,False,False
CK711,Mature Applicants General Nursing,UNIVERSITY COLLEGE CORK,160.0,167.0,True,True,True,False,False
CK712,Children's and General Nursing (Integrated),UNIVERSITY COLLEGE CORK,490.0,500.0,True,False,False,False,False
CK713,Mature Applicants Children's and General Nursing (Integrated,UNIVERSITY COLLEGE CORK,174.0,183.0,True,True,False,False,False
CK720,Psychiatric Nursing,UNIVERSITY COLLEGE CORK,340.0,380.0,True,False,False,False,False
