X,Y,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,LAND_AREA,TOTAL_AREA
236368.456056288,286670.682398899,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,"32",Cavan County,"32090","027053",Kilcogy,17.7933980000,17.8384150000
296984.205766172,180513.893739681,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01004","017022",Hacketstown,22.0689040000,22.0689040000
292582.032469341,178524.343479042,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01005","017023",Haroldstown,11.5431120000,11.5431120000
284014.641367472,180190.200539111,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01006","017029",Kineagh,18.0330350000,18.0330350000
286425.977882161,183194.215359515,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01007","017038",Rahill,16.4317790000,16.4317790000
289517.371087103,182577.367095646,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01008","017042",Rathvilly,12.7220480000,12.7229710000
292916.101539636,182660.637427614,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01009","017048",Tiknock,10.7589680000,10.7589680000
289027.208862143,178879.002700853,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01010","017053",Williamstown,15.5401770000,15.5401770000
273765.370690109,165516.486298452,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01011","017001",Agha,12.3219130000,12.3219130000
272630.876402031,172990.818836727,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01012","017002",Ballinacarrig,16.2191180000,16.2578200000
288661.294678648,167330.899825431,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01013","017003",Ballintemple,28.3550290000,28.3550290000
262070.283961098,348330.655482309,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,"34",Monaghan County,"34066","177065",Shanmullagh,13.6008760000,13.7530490000
255727.247758944,340024.677617332,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,"34",Monaghan County,"34067","177066",Sheskin,36.1853250000,36.2713730000
262226.700455804,339445.515326167,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,"34",Monaghan County,"34068","177068",Tedavnet,22.5600340000,22.6965060000
271534.809997457,336230.19369827,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,"34",Monaghan County,"34069","177069",Tehallan,17.1181080000,17.1235880000
272560.527659097,324933.487253053,IE0,Ireland,IE01,"Border,Midland and Western",IE011,Border,"34",Monaghan County,"34070","177070",Tullycorbet,26.9758790000,27.2638800000
272309.81074648,176747.582960276,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01001","017011",Carlow Urban,1.8070950000,1.8462410000
271535.112430809,176812.764683105,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01002","017054",Graigue Urban,0.4755060000,0.5206890000
295660.775228854,176254.594475013,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01003","017014",Clonmore,28.1368810000,28.1368810000
272883.873393966,150504.275527221,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01017","017008",Borris,15.9398240000,16.0578020000
277836.497063184,179412.204179307,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01018","017009",Burton Hall,6.1057990000,6.1057990000
273332.553282304,177547.032500562,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01019","017010",Carlow Rural,21.9366770000,22.1258560000
267848.295606889,171672.056278394,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01020","017012",Clogrenan,17.6337650000,17.7565800000
282844.235017348,158666.391336477,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01035","017035",Myshall,17.2722300000,17.2722300000
272817.401960103,168883.8405404,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01036","017036",Nurney,23.8525040000,23.9707980000
265310.715383297,165086.385418634,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01037","017037",Oldleighlin,19.3527620000,19.3527730000
279985.600853791,152987.124112932,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01038","017039",Rathanna,23.4111060000,23.4111060000
266330.977523954,169229.973789885,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01039","017040",Rathornan,19.9046920000,19.9632990000
290160.423449176,161900.835361684,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01021","017013",Clonegall,23.3546170000,23.3546630000
274750.434120891,157249.886873422,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01022","017016",Corries,17.6385860000,17.6385860000
286778.795825678,157729.559943505,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01023","017017",Cranemore,36.5178490000,36.5646220000
277631.66028576,163872.30575236,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01024","017018",Fennagh,18.9584140000,18.9617000000
279422.513544304,157880.637678321,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01025","017019",Garryhill,23.8633870000,23.8633870000
281351.594884726,174692.03445603,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01026","017021",Grangeford,14.1825690000,14.1825690000
277546.846675441,176122.748541933,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01027","017024",Johnstown,15.5954950000,15.5954950000
277142.457863439,172000.10342078,IE0,Ireland,IE02,Southern and Eastern,IE024,South-East (IE),"01",Carlow County,"01028","017025",Kellistown,20.0111980000,20.0111980000
